产品分类,一级类别,二级类别,档次,品牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,木塑膜结构,膜结构,高档,舒热佳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,木塑膜结构,膜结构,普通,赛德乐,naizil,畅悠,SHEERFILL,朗域,杜肯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,防火防腐,防火封堵材料,高档,鲁阳,金隅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,防火防腐,防火封堵材料,中档,蓝盾,福安,金鼠（之江）,河北宝航,蜀美,ANAN安安（森.,亚通,康泰,多联,华千,鸿元,奥驰,港丰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,防火防腐,防火封堵材料,普通,赛福消防,常红,川江,龙亘,茂源,欣安,三棱,三环管业,齐远,伊纳,金蜂,RC,兰晨,文蓝,川耐,金海安,海韵,六九,吉博力,宏岳,泰和,琦源,冷江牌,东宏东升,鑫凤,亚泰,PHA,汇杰,锦澜,天安普宁,华东,特瑞,DMD,京宏,环秀,世兴特种,HA,LSD,晟蒙,新阳（管道）,科安,恒立,玉峰-东方橡塑,大平,吉星,国泰圣火,三合,泰昌,正树防火,耕生,象圆,好周到,海午,京普牌,阳光三力,天品,西安鑫博,龙安,豫隆,中财（管材）,川科（塑胶）,平生,京力达,永安,新逸,金刚,德塑,鑫龙海,吉龙,赛朗,山河,世安,泰宁,桓桥,金恒,万丰,安盛达,福隆兴,川科,金人,信泰,乾鑫,军辉,声光,蜀龙,东能,百联,凯达,好安,D&L（德利）,四星,STI,振生,晶阳,ANTAS,乾通,泉旺,宝亮耐材,康安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,混凝土,预制混凝土构件,高档,中技桩业,建华管桩,三和（管桩）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,混凝土,预制混凝土构件,中档,九德,格辉阳,后鲁,明欣,宏基,美棱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,混凝土,预制混凝土构件,普通,春隆,建基,纵深管桩,隆通,华奇（井盖）,锦都,宝丰（管桩）,天利,富兴,育文,基立,金晋秋铸造,华泰,美亚美,欧文思顺,远大住工,永宏,DCKQ,DINGHAI,锐精,巢福,恒丰（水泥制.,昊河,银桥,东马,圣得,石域天下,汉鑫隆,隆发,大金马,禹王（混凝土.,LHB,龙仁,四通,普利匡,德厦建材,洪申,兴达（保温）,恒润,中实创,标迪夫,富嘉诚,千秋业,VIVA,忠心,赐成,MEA,大地管桩,中天,MUSCO,秦北,金佰特,顺弘,超逸,曼圣节能科技,光远电力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,防水材料,渗透结晶防水,中档,申泰（粘合剂.,派尼尔,神舟防水,蜀羊,大禹神工,锦绣,赛力克,月皇,明昌,克水孚,鲁班,宇虹,宝红,海之念,正泰（防水）,绿都,禹红,蓝盾之星,兴昌,创益,中建（建筑）,古城,嘉洲,波士胶,成桂,傅禹,立高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,防水材料,渗透结晶防水,普通,灯塔（防水）,德安密,立厦,渗宁,蓝天金地,瑞力克,豫宏,金盾防水,中威（防水）,蓝美高,禹都,上禹,特丰,OseaGuard,隆兴（防水）,添彩,黑虎宇王,晴空,航建,亚纳米特,日久,淇达,合丰,维施克,新奇雨,京湘,华瑞,瑞斯,富晟,军利,德成建材,利丰,华亚（防水）,砼甲,月星,广建,雨泰,台实,永固,海韵,RGi,世纪洪雨,穗美特,飞隆王,海旺,中通,牛元,雨水情,京奥,绿都常合,水无耐,耐博仕,台头富华,汇涂士,安利,天一（防水）,东方精创,康树,日尔,坚美特,超前（防水）,羽安,ALEC,宇铭,卓众建材,红信,佳渝,汇源,金禹,东升（防水）,劳尔斯,建海中建,威牌,建都,柯玛仕,嘉奈尔,华盾,恒温居,金固,骏华,良信,风行,泰阁,耐尔密,BAYKO,中建友,金堤城,万古,明星,春明大地,璐锋,双虹,荆狮,天马特,永安防水,三爱司,英克兰,丽天防水,博禹建材,万宝,中瑞,和鑫,汉策,杨氏达,瑞克,迅高,京发,中美耐施,哈德罗,佳一防水,圣海,克漏佳,绿珠,福明,天天晴,天1无缝,首云,辰旺,德美,优冠,健生涂料,鼎晨防水,钢玉,红牡丹,BTF,李施迈尔,大鹏,鑫诺防水,天禹（防水）,铜浪,鸿霁,信象,舜恒,百能,太阳红,滨河防水,王,龙涂,华邦（防水）,施耐特,天信,占海,永康神龙,宇阳泽丽,仁众,家实多防水,雨冠,华光,宝康,永联结,格雷斯,锦高,凯伦,（ZHONG YI T.,湿贴耐尔,欧莱,欧文思科,金标,九鼎宏泰,信托,京核,圣姗姆,楚天美丰,DFZ,金虹,欧丽亚（涂料.,金雨伞,沪防,圣奥星空,千瑞·科密斯,鹏腾,金汤,魁霸防水,飞翎防水,海建,安德龙,奥杰能,天坝,大运,安德斯,新三峡,建王防水,丹帅,三德,健熙,远大洪雨,克来斯特,佳信,榕都,虹侨,同济（防水）,九阳（防水）,新冶建,施易欣,青固,建国防水,哲成,飞鹿涂料,黄榜建材防水.,金兴,鲁惠,星月旺,朗索,弘铭,可立特,上防,DONGBAO东宝漆,鑫鹏,西北禹宏,禹神,欧普森,水迪,驰铭,津铭,景士兰,胜克宝,双虹（卷材）,碧云天,爱迪斯,坚久,鑫义,XMHZ,正禧,海豪,宇丰,冠业,恒建博京,精卫,耐睿特,金拇指,克诺,彤泰,佳派,群升（防水）,朗坤,鲁邦,林峻,老师傅,冰盾,海岩兴业,御龙,西部金达,阁美仕,姑苏,赛柏斯,豫龙（防水）,绿色家园,新黑豹,朗凯奇,京建,黄河
建筑材料,金属材料,焊接钢管,高档,永享,利达,三菱,珠江（管业）,日丰（管业）,保利,新兴·铸管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,金属材料,焊接钢管,中档,三鲸,天力,广东明珠,海浩（管件）,双街,康泰,贝根,上塑,金盾,迈克,华亚,标一,艺华,蓝深,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,金属材料,焊接钢管,普通,parker,金羊（管件）,新碧园,大大不锈钢,永盛元,金洲,恒创源,金晋秋铸造,BS,一通,新世,合威,利洋四方,承钢,天大,苏安,海泰钢管,WELDED PIPE,聚源管业,顶发,华塑,上厦,津唐,JW,海牛科技,金海安,泉杰景观,亚西亚,兴华铸造,海门,浙安,华鸿,吉肽,吉博力,华水,杰瑞,三庆,东宏东升,PULSST,新兴,亿泰顺兴,正金元,创建,福兰特,江丰,金洲管道,迪曼德,屹林,飞轮,搏朗,志达,华捷钢管,江苏道成,温默尔,金力特,灵龙,五洲（钢管）,国强,PCK,正天齐,顺发门,普利卡,三顺,民乐,凯斯姆,富力通,安盾,申捷,卡耐夫,广上,蜀川帝,成和,澳岐,100TONG（亿佰.,山西泫氏,通洋,荣钢,力变,中井,新光,岷河,正康,永大不锈钢,金诺达,中钢,众扬,新纪元,Wednesbury,狮岛,BEI&BIN（贝滨.,华岐,超前,雅昌,蓝天（安防）,宏泰铜管,鹰穗,联铸,海亮,科净源,泰丰侨,海越,安泰（消防）,豪达尔,天力久田,共同,飞塑管业,CXZY,中南人防,金创,中海,光德,正大空分,华潜,中佳,宝钢,川杭,正材,海派斯,嘉科米尼,汉益杰,定鼎,衡钢,净源通（上海.,腾达,振超,鹏正,铭仕,钜电,海利,穗生,海盾,皓冠,中东,百力,冠宇,易百亿,良工,佛山桂安,友发,环钦,永金,中财（管材）,鑫源泰,兴舞,玄,UNISPARK,五洲,恒基,HORTIG rohrp.,山宁,地天旺,三星气龙,畅通,共和,日特,粤华,石人,久立,迅茂,美亚,瑞港,博爱,光大,四川民生,赛和神通,聚（金属）,新光光大（恒.,银河,新莱,奎,固美,南粤,联通,东岳,巨,月泰,NJCCT,申利,广州民生,骏通,方圆云达,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建筑材料,门窗幕墙,窗,高档,金为锌钢,YKK,盼盼,海螺（型材）,远大铝业,绿牌,美驰,维卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
